step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
654,8.861152,0.2804,0.0879,0.1729,0.0191,57.0641
657,8.870687,0.2822,0.0884,0.1742,0.0191,56.7032
660,8.858168,0.2795,0.0877,0.1723,0.0190,57.2416
663,8.873328,0.2801,0.0874,0.1731,0.0191,57.1321
666,8.863317,0.2800,0.0879,0.1726,0.0190,57.1404
669,8.843325,0.2826,0.0882,0.1747,0.0192,56.6198
672,8.842152,0.2809,0.0882,0.1729,0.0192,56.9521
675,8.856459,0.2827,0.0884,0.1746,0.0192,56.5966
678,8.858815,0.2824,0.0881,0.1745,0.0193,56.6555
681,8.849131,0.2810,0.0881,0.1732,0.0192,56.9441
684,8.855312,0.2826,0.0885,0.1745,0.0191,56.6185
687,8.845439,0.2801,0.0878,0.1727,0.0191,57.1163
690,8.849186,0.2829,0.0886,0.1747,0.0192,56.5514
693,8.846821,0.2799,0.0879,0.1723,0.0193,57.1597
696,8.848897,0.2805,0.0869,0.1741,0.0191,57.0423
699,8.839148,0.2799,0.0878,0.1726,0.0189,57.1698
702,8.869603,0.2799,0.0881,0.1722,0.0192,57.1546
705,8.850791,0.2828,0.0887,0.1746,0.0191,56.5688
708,8.838549,0.2835,0.0889,0.1748,0.0192,56.4449
711,8.845853,0.2824,0.0884,0.1743,0.0192,56.6619
714,8.869487,0.2823,0.0882,0.1744,0.0193,56.6841
717,8.864712,0.2807,0.0883,0.1727,0.0192,57.0015
720,8.829324,0.2828,0.0884,0.1748,0.0191,56.5742
723,8.852523,0.2800,0.0877,0.1728,0.0191,57.1444
726,8.859432,0.2823,0.0883,0.1744,0.0191,56.6828
729,8.847962,0.2816,0.0875,0.1746,0.0190,56.8220
732,8.859538,0.2817,0.0889,0.1732,0.0191,56.7911
735,8.861421,0.2825,0.0891,0.1736,0.0193,56.6436
738,8.855459,0.2835,0.0894,0.1745,0.0192,56.4371
741,8.871115,0.2832,0.0893,0.1744,0.0190,56.4954
744,8.833216,0.2839,0.0897,0.1744,0.0192,56.3534
747,8.869364,0.2823,0.0888,0.1739,0.0192,56.6707
750,8.851071,0.2818,0.0888,0.1733,0.0192,56.7751
753,8.861917,0.2818,0.0880,0.1742,0.0191,56.7714
756,8.873750,0.2810,0.0885,0.1728,0.0192,56.9394
759,8.851305,0.2820,0.0889,0.1735,0.0191,56.7443
762,8.865215,0.2830,0.0894,0.1740,0.0191,56.5455
765,8.862970,0.2819,0.0883,0.1740,0.0191,56.7600
768,8.855898,0.2821,0.0881,0.1743,0.0192,56.7174
771,8.846117,0.2808,0.0881,0.1730,0.0192,56.9821
774,8.828567,0.2822,0.0880,0.1745,0.0192,56.7057
777,8.867064,0.2802,0.0879,0.1728,0.0190,57.1047
780,8.849947,0.2829,0.0888,0.1741,0.0194,56.5568
783,8.866993,0.2820,0.0879,0.1744,0.0193,56.7383
786,8.857365,0.2818,0.0890,0.1732,0.0191,56.7780
789,8.859331,0.2824,0.0889,0.1738,0.0193,56.6666
792,8.860513,0.2829,0.0893,0.1739,0.0193,56.5588
795,8.859029,0.2821,0.0881,0.1744,0.0192,56.7076
798,8.843032,0.2815,0.0887,0.1732,0.0191,56.8363
801,8.859006,0.2820,0.0883,0.1741,0.0191,56.7475
804,8.838546,0.2826,0.0884,0.1745,0.0193,56.6198
807,8.858308,0.2800,0.0875,0.1728,0.0190,57.1472
810,8.854951,0.2812,0.0882,0.1734,0.0191,56.9086
813,8.847064,0.2818,0.0878,0.1743,0.0192,56.7824
816,8.857753,0.2814,0.0890,0.1727,0.0192,56.8675
819,8.836167,0.2822,0.0889,0.1737,0.0191,56.7022
822,8.851257,0.2830,0.0893,0.1741,0.0191,56.5445
825,8.825201,0.2831,0.0891,0.1743,0.0192,56.5144
828,8.834171,0.2838,0.0895,0.1747,0.0191,56.3776
831,8.843159,0.2828,0.0893,0.1738,0.0192,56.5690
834,8.849887,0.2821,0.0884,0.1740,0.0192,56.7103
837,8.859392,0.2815,0.0875,0.1745,0.0191,56.8331
840,8.848218,0.2816,0.0887,0.1734,0.0191,56.8132
843,8.835321,0.2825,0.0886,0.1742,0.0192,56.6436
846,8.849899,0.2834,0.0894,0.1743,0.0192,56.4538
849,8.870907,0.2825,0.0883,0.1747,0.0191,56.6371
852,8.863396,0.2805,0.0881,0.1728,0.0191,57.0409
855,8.855746,0.2824,0.0884,0.1742,0.0193,56.6637
858,8.844031,0.2822,0.0883,0.1742,0.0191,56.6974
861,8.853862,0.2804,0.0880,0.1727,0.0193,57.0626
864,8.864025,0.2821,0.0883,0.1741,0.0192,56.7141
867,8.861347,0.2813,0.0873,0.1744,0.0191,56.8808
870,8.849311,0.2815,0.0887,0.1732,0.0191,56.8383
873,8.841823,0.2819,0.0886,0.1736,0.0191,56.7625
876,8.862580,0.2834,0.0892,0.1745,0.0193,56.4531
879,8.840922,0.2822,0.0880,0.1744,0.0193,56.6889
882,8.845379,0.2806,0.0881,0.1729,0.0191,57.0264
885,8.844986,0.2821,0.0884,0.1740,0.0193,56.7172
888,8.843783,0.2821,0.0880,0.1743,0.0193,56.7221
891,8.857749,0.2807,0.0882,0.1728,0.0192,57.0081
894,8.837476,0.2826,0.0885,0.1745,0.0191,56.6143
897,8.846566,0.2799,0.0878,0.1725,0.0192,57.1602
900,8.853543,0.2791,0.0876,0.1720,0.0191,57.3240
903,8.843632,0.2794,0.0870,0.1729,0.0190,57.2617
906,8.853806,0.2803,0.0879,0.1728,0.0192,57.0889
909,8.836342,0.2823,0.0883,0.1745,0.0191,56.6673
912,8.844153,0.2798,0.0878,0.1723,0.0192,57.1833
915,8.859118,0.2822,0.0885,0.1740,0.0192,56.7011
918,8.850025,0.2820,0.0879,0.1744,0.0192,56.7371
921,8.855398,0.2821,0.0888,0.1735,0.0193,56.7222
924,8.863444,0.2822,0.0889,0.1736,0.0192,56.6994
927,8.860298,0.2823,0.0882,0.1744,0.0189,56.6870
930,8.845203,0.2801,0.0879,0.1725,0.0192,57.1217
933,8.853827,0.2821,0.0880,0.1745,0.0192,56.7095
936,8.852943,0.2809,0.0881,0.1733,0.0191,56.9501
939,8.857312,0.2793,0.0875,0.1720,0.0193,57.2830
942,8.837913,0.2803,0.0872,0.1734,0.0192,57.0800
945,8.828916,0.2803,0.0878,0.1728,0.0192,57.0860
948,8.841311,0.2818,0.0880,0.1742,0.0191,56.7756
951,8.857574,0.2800,0.0878,0.1726,0.0192,57.1340
954,8.843619,0.2813,0.0877,0.1740,0.0191,56.8813
957,8.860387,0.2805,0.0881,0.1728,0.0191,57.0483
960,8.825642,0.2825,0.0883,0.1744,0.0193,56.6338
963,8.840902,0.2814,0.0886,0.1732,0.0191,56.8603
966,8.846315,0.2823,0.0883,0.1743,0.0191,56.6809
969,8.845321,0.2817,0.0879,0.1743,0.0191,56.7965
972,8.834142,0.2807,0.0880,0.1730,0.0192,57.0000
975,8.856764,0.2820,0.0882,0.1743,0.0191,56.7308
978,8.843192,0.2802,0.0877,0.1728,0.0193,57.0928
981,8.845716,0.2804,0.0867,0.1740,0.0192,57.0713
984,8.847609,0.2803,0.0875,0.1730,0.0193,57.0827
987,8.835864,0.2797,0.0878,0.1722,0.0192,57.2063
990,8.866053,0.2822,0.0880,0.1745,0.0191,56.6988
993,8.840103,0.2806,0.0881,0.1730,0.0191,57.0257
996,8.844513,0.2828,0.0886,0.1743,0.0193,56.5747
999,8.840165,0.2798,0.0877,0.1724,0.0193,57.1801
1002,8.843086,0.2822,0.0881,0.1743,0.0193,56.6962
1005,8.848707,0.2817,0.0886,0.1735,0.0191,56.7946
1008,8.829928,0.2820,0.0884,0.1740,0.0191,56.7475
1011,8.849132,0.2821,0.0879,0.1745,0.0192,56.7168
1014,8.863263,0.2801,0.0878,0.1727,0.0191,57.1323
1017,8.837687,0.2817,0.0880,0.1741,0.0191,56.8020
1020,8.849777,0.2801,0.0877,0.1727,0.0193,57.1164
1023,8.843762,0.2797,0.0876,0.1724,0.0192,57.2091
1026,8.834595,0.2801,0.0875,0.1731,0.0190,57.1283
1029,8.842649,0.2800,0.0877,0.1727,0.0191,57.1458
1032,8.847783,0.2809,0.0879,0.1732,0.0192,56.9662
1035,8.837400,0.2806,0.0878,0.1731,0.0191,57.0293
1038,8.841810,0.2818,0.0880,0.1742,0.0191,56.7757
1041,8.855500,0.2808,0.0877,0.1735,0.0191,56.9740
1044,8.831999,0.2818,0.0879,0.1741,0.0193,56.7776
1047,8.857844,0.2803,0.0881,0.1726,0.0192,57.0720
1050,8.857694,0.2819,0.0879,0.1742,0.0193,56.7542
1053,8.841244,0.2801,0.0879,0.1725,0.0192,57.1254
