timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,num_samples
152.0,97.000000,3.000000,10923.250000,0.000000,0.550000,0.050000,2
152.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
153.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
153.5,96.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
154.0,94.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
154.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
155.0,96.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
155.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
156.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
156.5,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
157.0,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
157.5,99.500000,0.500000,10923.250000,0.000000,0.550000,0.050000,2
158.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
158.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
159.0,97.333333,2.494438,10923.250000,0.000000,0.500000,0.000000,3
159.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
160.0,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
160.5,99.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
161.0,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
161.5,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
162.0,99.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
162.5,97.666667,2.624669,10923.250000,0.000000,0.533333,0.047140,3
163.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
163.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
164.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
164.5,96.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
165.0,96.000000,2.160247,10923.250000,0.000000,0.533333,0.047140,3
165.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
166.0,95.333333,1.885618,10923.250000,0.000000,0.500000,0.000000,3
166.5,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
167.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
167.5,100.000000,0.000000,10923.250000,0.000000,0.550000,0.050000,2
168.0,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
168.5,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
169.0,97.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
169.5,98.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
170.0,98.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
170.5,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
