timeline_s,dt_s,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,inferred_energy_per_step_j,inferred_energy_per_step_j_std,num_samples
16.0,0.5,134.988,0.879,75.987984912,0.494810196,2
16.5,0.5,193.571667,8.800796,108.966137074308,4.954179287504,3
17.0,0.5,122.4615,9.2395,68.936517426,5.201136298,2
17.5,0.5,146.6715,32.8075,82.56490746600001,18.468129129999998,2
18.0,0.5,200.907,0.328,113.095372068,0.184639072,2
18.5,0.5,131.934,0.214051,74.26881501599999,0.120494445124,3
19.0,0.5,179.876,0.0,101.256517424,0.0,1
19.5,0.5,165.139333,23.88291,92.96089388969199,13.444263228839999,3
20.0,0.5,132.3245,0.0645,74.48863683799999,0.036308598,2
20.5,0.5,177.808,0.0,100.09239059199999,0.0,1
21.0,0.5,165.257333,23.624689,93.02731892169199,13.298904430636,3
21.5,0.5,132.9055,0.3905,74.815695682,0.219821822,2
22.0,0.5,181.078,2.216,101.933152072,1.247439584,2
22.5,0.5,156.5545,24.9155,88.12828535799999,14.025532922,2
23.0,0.5,132.574,0.289,74.629086376,0.16268503599999998,2
23.5,0.5,182.284,1.138,102.61203841599999,0.6406075119999999,2
24.0,0.5,148.245333,23.155025,83.45085583369199,13.034519293099999,3
24.5,0.5,158.399,22.695,89.16659867599999,12.77556018,2
25.0,0.5,191.6785,9.0955,107.900427934,5.1200752419999995,2
25.5,0.5,131.416,0.583,73.97722038399999,0.32818469199999994,2
26.0,0.5,146.28,32.483,82.34452272,18.285460291999996,2
26.5,0.5,170.652,29.41425,96.06410644799999,16.557987266999998,3
27.0,0.5,132.232,0.094,74.436566368,0.052914855999999996,2
27.5,0.5,180.12,0.0,101.39387088,0.0,1
28.0,0.5,164.937333,23.993793,92.847183241692,13.506681930732,3
28.5,0.5,132.3215,0.7415,74.486948066,0.41740814600000004,2
29.0,0.5,181.7645,1.5915,102.319599398,0.8958935459999999,2
29.5,0.5,155.7625,24.4155,87.68244954999999,13.744070922,2
30.0,0.5,132.771,0.4,74.73998240399999,0.2251696,2
30.5,0.5,181.097,2.245,101.943847628,1.26376438,2
31.0,0.5,148.433667,22.854497,83.556873562308,12.865344869227998,3
31.5,0.5,157.628,21.386,88.73258427199998,12.038692664,2
32.0,0.5,183.645,0.0,103.37817798,0.0,1
32.5,0.5,154.955667,32.635791,87.228263890308,18.371470012883997,3
33.0,0.5,145.916,32.896,82.139618384,18.517947904,2
33.5,0.5,171.735667,30.206423,96.674128610308,17.003920460852,3
34.0,0.5,132.285,0.0,74.46640133999999,0.0,1
34.5,0.5,154.909,23.824,87.20199391599999,13.411101376000001,2
35.0,0.5,165.467333,24.338333,93.145532961692,13.700631765691998,3
35.5,0.5,132.293,0.663,74.470904732,0.373218612,2
36.0,0.5,180.61,0.783,101.66970364000001,0.440769492,2
36.5,0.5,156.532,24.496,88.115619568,13.789386303999999,2
37.0,0.5,132.643,0.511,74.667928132,0.287654164,2
37.5,0.5,179.5645,0.5215,101.081166598,0.293564866,2
38.0,0.5,156.241,24.569,87.951808684,13.830479755999999,2
38.5,0.5,149.134,21.066071,83.95110781599999,11.858596951604,3
39.0,0.5,199.867,0.0,112.50993110799999,0.0,1
39.5,0.5,141.643667,28.474007,79.73461960230799,16.028701916468,3
40.0,0.5,157.9505,23.5895,88.914127262,13.279095698,2
40.5,0.5,166.8065,34.2475,93.899382206,19.278739690000002,2
41.0,0.5,165.9975,35.4305,93.44397669,19.944678782,2
41.5,0.5,148.0125,34.0655,83.31978854999998,19.176287522,2
42.0,0.5,171.545667,29.100858,96.567173050308,16.381571388792,3
42.5,0.5,132.039,0.0,74.32792203599999,0.0,1
43.0,0.5,157.377,24.859,88.591290348,13.993727716,2
43.5,0.5,164.388667,22.880771,92.538325982308,12.880135134403998,3
44.0,0.5,132.225,0.324,74.43262589999999,0.182387376,2
44.5,0.5,182.306,0.0,102.624422744,0.0,1
45.0,0.5,164.924667,22.270882,92.840053246308,12.536813978968,3
45.5,0.5,149.437333,23.168128,84.12186124169199,13.041895286271998,3
46.0,0.5,182.831,0.0,102.919957844,0.0,1
46.5,0.5,150.77,23.413226,84.87205148,13.179866832824,3
47.0,0.5,158.0515,23.9055,88.970982586,13.456979682,2
47.5,0.5,157.218,24.179,88.50178543199999,13.610939396,2
48.0,0.5,157.8145,22.4785,88.837569598,12.653687134,2
48.5,0.5,159.178,23.266,89.60511647199999,13.096989783999998,2
49.0,0.5,157.09,24.315,88.42973116,13.68749706,2
49.5,0.5,168.3835,33.0925,94.787113354,18.62856247,2
50.0,0.5,148.0485,34.3105,83.34005381399999,19.314203902,2
50.5,0.5,172.093,29.143445,96.87527993199998,16.40554463318,3
51.0,0.5,135.297,0.0,76.161928428,0.0,1
51.5,0.5,156.8175,25.1585,88.27633437,14.162323454,2
52.0,0.5,165.31,23.311962,93.05696644,13.122862896888,3
52.5,0.5,149.988667,22.350358,84.43222038230799,12.581552926792,3
53.0,0.5,182.714,0.0,102.85409573599999,0.0,1
53.5,0.5,149.638,22.18689,84.234821512,12.48953286636,3
54.0,0.5,156.154,23.273,87.902834296,13.100930252,2
54.5,0.5,158.0655,24.2605,88.97886352199998,13.656817702,2
55.0,0.5,157.98,22.537,88.93073351999999,12.686618187999999,2
55.5,0.5,157.2225,21.6055,88.50431859,12.162254482,2
56.0,0.5,158.854,24.069,89.422729096,13.549017756,2
56.5,0.5,168.962,33.713,95.11276488799999,18.977856812,2
57.0,0.5,147.836,33.775,83.220432464,19.0127581,2
57.5,0.5,158.34,24.248,89.13338616,13.649781152000001,2
58.0,0.5,168.8685,33.4435,95.060131494,18.826148793999998,2
58.5,0.5,165.7855,33.5765,93.324636802,18.901017686,2
59.0,0.5,159.530667,31.617673,89.803641190308,17.798346955852,3
59.5,0.5,167.2755,32.4875,94.163393562,18.28799345,2
60.0,0.5,157.9085,24.8545,88.890484454,13.991194558,2
60.5,0.5,142.993333,27.773986,80.494378985692,15.634643295064,3
61.0,0.5,165.9655,33.2635,93.425963122,18.724822474,2
61.5,0.5,181.284,0.0,102.049114416,0.0,1
62.0,0.5,149.721333,23.157762,84.28173165769199,13.036060016088001,3
62.5,0.5,158.8655,22.6425,89.429202722,12.746006669999998,2
63.0,0.5,156.7645,24.6875,88.246499398,13.897186249999999,2
63.5,0.5,168.4625,33.1705,94.83158435,18.672470542,2
64.0,0.5,146.8975,32.8795,82.69212829,18.508659658,2
64.5,0.5,156.826,24.396,88.281119224,13.733093904,2
65.0,0.5,168.8185,33.6925,95.031985294,18.96631687,2
65.5,0.5,158.4235,25.2995,89.180390314,14.241695737999999,2
66.0,0.5,156.9245,23.9325,88.336567238,13.47217863,2
66.5,0.5,158.1355,23.3085,89.018268202,13.120914053999998,2
67.0,0.5,165.488333,22.662408,93.157354365692,12.757213360991999,3
67.5,0.5,149.135,22.721707,83.95167074,12.790594191268,3
68.0,0.5,181.998,0.0,102.45104215199999,0.0,1
68.5,0.5,166.529,33.614,93.743170796,18.922127336,2
69.0,0.5,142.288333,27.8352,80.09751756569199,15.6691021248,3
69.5,0.5,179.273,0.0,100.91707425199999,0.0,1
70.0,0.5,156.306333,31.22921,87.988586197692,17.579671810039997,3
70.5,0.5,164.498,35.066,92.59987215199999,19.739492984,2
71.0,0.5,157.896,22.621,88.883447904,12.733903803999999,2
71.5,0.5,158.497,22.289,89.22176522800001,12.547013036000001,2
72.0,0.5,158.1245,26.4665,89.012076038,14.898628045999999,2
72.5,0.5,167.1955,33.6315,94.118359642,18.931978506,2
73.0,0.5,147.4055,32.3615,82.978093682,18.217065026,2
73.5,0.5,156.8275,24.6685,88.28196360999999,13.886490694,2
74.0,0.5,171.286333,27.945846,96.421187717692,15.731387413703999,3
74.5,0.5,113.722,0.0,64.01684312799999,0.0,1
75.0,0.5,172.469,29.952232,97.08693935599999,16.860830246368,3
75.5,0.5,155.6325,22.1455,87.60926943,12.466233441999998,2
76.0,0.5,123.622,9.748,69.589790728,5.487383152,2
76.5,0.5,191.8275,11.4315,107.98430360999998,6.435065706,2
77.0,0.5,143.884667,28.704513,80.996132286308,16.158459276012,3
77.5,0.5,167.004,34.837,94.01055969599999,19.610583388000002,2
78.0,0.5,202.85,0.0,114.18913339999999,0.0,1
78.5,0.5,142.676,27.389362,80.31574462399999,15.418129214488,3
79.0,0.5,160.178,24.144,90.168040472,13.591237055999999,2
79.5,0.5,166.5495,33.1805,93.754710738,18.678099782,2
80.0,0.5,166.297,34.385,93.612572428,19.356141739999998,2
