timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
262.9564,95,45,6111.25,0.5,3.4,17520.90
263.5862,95,41,6111.25,0.6,3.4,17520.65
264.2208,95,40,6111.25,0.6,3.4,17520.32
264.8552,95,43,6111.25,0.6,3.4,17520.26
265.4841,95,44,6111.25,0.5,3.4,17520.24
266.1195,92,45,6111.25,0.6,3.4,17520.54
266.7506,95,46,6111.25,0.5,3.4,17521.23
267.3828,95,41,6111.25,0.6,3.4,17520.72
268.0197,95,40,6111.25,0.6,3.4,17520.36
268.6510,95,42,6111.25,0.6,3.4,17520.11
269.2811,95,44,6111.25,0.6,3.4,17519.50
269.9146,92,44,6111.25,0.5,3.4,17519.30
270.5463,95,48,6111.25,0.6,3.4,17520.04
271.1773,95,40,6111.25,0.6,3.4,17520.25
271.8143,95,40,6111.25,0.6,3.4,17521.72
272.4447,95,41,6111.25,0.6,3.4,17521.96
273.0776,95,44,6111.25,0.6,3.4,17521.68
273.7102,92,44,6111.25,0.5,3.4,17522.91
274.3414,93,48,6111.25,0.6,3.4,17521.66
274.9780,95,41,6111.25,0.6,3.4,17521.80
275.6172,95,40,6111.25,0.6,3.4,17521.55
276.2504,95,42,6111.25,0.6,3.4,17522.27
276.8824,95,44,6111.25,0.6,3.4,17522.47
277.5175,92,46,6111.25,0.6,3.4,17522.71
278.1517,95,44,6111.25,0.6,3.4,17524.17
278.7814,95,40,6111.25,0.5,3.4,17524.16
279.4164,95,40,6111.25,0.5,3.4,17525.14
280.0487,95,43,6111.25,0.6,3.4,17524.86
280.6817,95,44,6111.25,0.6,3.4,17526.33
281.3163,92,46,6111.25,0.6,3.4,17526.55
281.9535,95,43,6111.25,0.5,3.4,17526.78
282.5859,95,48,6111.25,0.5,3.4,17528.01
283.2210,95,40,6111.25,0.5,3.4,17529.71
283.8553,95,43,6111.25,0.5,3.4,17529.96
284.4891,95,43,6111.25,0.6,3.4,17529.69
285.1214,91,47,6111.25,0.6,3.4,17529.21
285.7542,95,43,6111.25,0.6,3.4,17528.95
286.3930,95,44,6111.25,0.6,3.4,17529.68
287.0259,95,41,6111.25,0.5,3.4,17529.07
287.6583,95,44,6111.25,0.6,3.4,17529.53
288.2945,94,41,6111.25,0.6,3.4,17529.77
288.9286,91,47,6111.25,0.6,3.4,17529.77
289.5589,95,41,6111.25,0.5,3.4,17529.77
290.1926,95,44,6111.25,0.5,3.4,17530.20
290.8240,95,41,6111.25,0.6,3.4,17530.36
291.4560,95,43,6111.25,0.6,3.4,17530.34
292.0925,95,41,6111.25,0.5,3.4,17530.05
292.7271,91,47,6111.25,0.5,3.4,17529.80
293.3585,95,41,6111.25,0.6,3.4,17529.27
293.9920,95,43,6111.25,0.5,3.4,17529.28
294.6266,95,40,6111.25,0.5,3.4,17529.28
295.2561,95,44,6111.25,0.6,3.4,17528.78
295.8902,95,42,6111.25,0.6,3.4,17528.15
296.5216,91,48,6111.25,0.6,3.4,17528.12
297.1530,95,42,6111.25,0.6,3.4,17527.48
297.7883,95,45,6111.25,0.5,3.4,17527.59
298.4206,95,41,6111.25,0.6,3.4,17527.54
299.0513,95,43,6111.25,0.6,3.4,17526.99
299.6850,95,43,6111.25,0.6,3.4,17527.14
