step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
412,8.876604,0.2828,0.0883,0.1750,0.0191,56.5792
413,8.872179,0.2821,0.0875,0.1752,0.0190,56.7091
414,8.863132,0.2832,0.0890,0.1748,0.0190,56.4966
415,8.874830,0.2840,0.0889,0.1757,0.0191,56.3295
416,8.865569,0.2843,0.0887,0.1761,0.0192,56.2836
417,8.859526,0.2833,0.0881,0.1757,0.0191,56.4846
418,8.864841,0.2842,0.0890,0.1758,0.0191,56.2961
419,8.862239,0.2853,0.0898,0.1760,0.0191,56.0841
420,8.881657,0.2833,0.0883,0.1757,0.0191,56.4706
421,8.862458,0.2843,0.0890,0.1758,0.0191,56.2708
422,8.869788,0.2844,0.0886,0.1763,0.0191,56.2519
423,8.867178,0.2829,0.0883,0.1751,0.0192,56.5485
424,8.861303,0.2830,0.0876,0.1759,0.0192,56.5337
425,8.844960,0.2860,0.0904,0.1761,0.0191,55.9497
426,8.868306,0.2825,0.0882,0.1749,0.0191,56.6352
427,8.866568,0.2848,0.0892,0.1762,0.0191,56.1703
428,8.867271,0.2846,0.0887,0.1760,0.0195,56.2135
429,8.872438,0.2841,0.0885,0.1760,0.0192,56.3206
430,8.890222,0.2849,0.0903,0.1752,0.0191,56.1520
